dataset,run,arraylength,time,cputime,memory
duplicates_1000,1,1000,0.13,0.00,162.50
duplicates_1000,2,1000,0.14,0.00,162.50
duplicates_1000,3,1000,0.19,0.00,162.50
duplicates_1000,4,1000,0.21,0.00,162.50
duplicates_1000,5,1000,0.25,0.00,162.50
duplicates_1000,6,1000,0.15,0.00,162.50
duplicates_1000,7,1000,0.17,0.00,162.50
duplicates_1000,8,1000,0.20,0.00,162.50
duplicates_1000,9,1000,0.15,0.00,162.50
duplicates_1000,10,1000,0.21,0.00,162.50
duplicates_1000,11,1000,0.15,0.00,162.50
duplicates_1000,12,1000,0.17,0.00,162.50
duplicates_1000,13,1000,0.21,0.00,162.50
duplicates_1000,14,1000,0.22,0.00,162.50
duplicates_1000,15,1000,0.23,0.00,162.50
duplicates_1000,16,1000,0.18,0.00,162.50
duplicates_1000,17,1000,0.18,0.00,162.50
duplicates_1000,18,1000,0.15,0.00,162.50
duplicates_1000,19,1000,0.25,0.00,162.50
duplicates_1000,20,1000,0.14,0.00,162.50
duplicates_1000,21,1000,0.13,0.00,162.50
duplicates_1000,22,1000,0.18,0.00,162.50
duplicates_1000,23,1000,0.18,0.00,162.50
duplicates_1000,24,1000,0.12,0.00,162.50
duplicates_1000,25,1000,0.15,0.00,162.50
duplicates_1000,26,1000,0.14,0.00,162.50
duplicates_1000,27,1000,0.16,0.00,162.50
duplicates_1000,28,1000,0.19,0.00,162.50
duplicates_1000,29,1000,0.21,0.00,162.50
duplicates_1000,30,1000,0.20,0.00,162.50
duplicates_5000,1,5000,0.74,0.00,767.69
duplicates_5000,2,5000,0.60,0.00,767.69
duplicates_5000,3,5000,0.57,0.00,767.69
duplicates_5000,4,5000,0.57,0.00,767.69
duplicates_5000,5,5000,0.57,0.00,767.69
duplicates_5000,6,5000,1.09,0.00,767.69
duplicates_5000,7,5000,1.11,0.00,767.69
duplicates_5000,8,5000,0.64,0.00,767.69
duplicates_5000,9,5000,0.57,0.00,767.69
duplicates_5000,10,5000,0.59,0.00,767.69
duplicates_5000,11,5000,0.59,0.00,767.69
duplicates_5000,12,5000,0.86,0.00,767.69
duplicates_5000,13,5000,0.65,0.00,767.69
duplicates_5000,14,5000,0.61,0.00,767.69
duplicates_5000,15,5000,0.59,0.00,767.69
duplicates_5000,16,5000,0.60,0.00,767.69
duplicates_5000,17,5000,0.94,0.00,767.69
duplicates_5000,18,5000,0.62,0.00,767.69
duplicates_5000,19,5000,0.87,0.00,767.69
duplicates_5000,20,5000,0.88,0.00,767.69
duplicates_5000,21,5000,0.61,0.00,767.69
duplicates_5000,22,5000,1.01,0.00,767.69
duplicates_5000,23,5000,0.56,0.00,767.69
duplicates_5000,24,5000,0.66,0.00,767.69
duplicates_5000,25,5000,0.96,0.00,767.69
duplicates_5000,26,5000,0.56,0.00,767.69
duplicates_5000,27,5000,0.92,0.00,767.69
duplicates_5000,28,5000,0.60,0.00,767.69
duplicates_5000,29,5000,0.95,0.00,767.69
duplicates_5000,30,5000,0.56,0.00,767.69
duplicates_10000,1,10000,0.99,0.00,1613.21
duplicates_10000,2,10000,1.13,0.00,1613.21
duplicates_10000,3,10000,1.15,0.00,1613.21
duplicates_10000,4,10000,1.26,0.00,1613.21
duplicates_10000,5,10000,1.66,0.00,1613.21
duplicates_10000,6,10000,1.28,0.00,1613.21
duplicates_10000,7,10000,1.20,0.00,1613.21
duplicates_10000,8,10000,1.15,0.00,1613.21
duplicates_10000,9,10000,1.13,15.63,1613.21
duplicates_10000,10,10000,1.68,0.00,1613.21
duplicates_10000,11,10000,1.14,0.00,1613.21
duplicates_10000,12,10000,1.20,0.00,1613.21
duplicates_10000,13,10000,2.17,0.00,1613.21
duplicates_10000,14,10000,1.34,0.00,1613.21
duplicates_10000,15,10000,1.25,0.00,1613.21
duplicates_10000,16,10000,1.20,0.00,1613.21
duplicates_10000,17,10000,1.14,0.00,1613.21
duplicates_10000,18,10000,1.11,0.00,1613.21
duplicates_10000,19,10000,2.03,15.63,1613.21
duplicates_10000,20,10000,1.19,0.00,1613.21
duplicates_10000,21,10000,1.15,0.00,1613.21
duplicates_10000,22,10000,1.25,0.00,1613.21
duplicates_10000,23,10000,1.73,0.00,1613.21
duplicates_10000,24,10000,1.16,0.00,1613.21
duplicates_10000,25,10000,1.24,0.00,1613.21
duplicates_10000,26,10000,1.12,0.00,1613.21
duplicates_10000,27,10000,1.16,0.00,1613.21
duplicates_10000,28,10000,1.22,0.00,1613.21
duplicates_10000,29,10000,1.84,0.00,1613.21
duplicates_10000,30,10000,2.29,0.00,1613.21
duplicates_50000,1,50000,6.35,15.63,835.58
duplicates_50000,2,50000,7.37,0.00,830.02
duplicates_50000,3,50000,6.97,15.63,834.64
duplicates_50000,4,50000,5.92,15.63,829.77
duplicates_50000,5,50000,6.37,0.00,831.60
duplicates_50000,6,50000,6.09,0.00,829.80
duplicates_50000,7,50000,6.05,0.00,831.62
duplicates_50000,8,50000,6.00,15.63,829.80
duplicates_50000,9,50000,5.61,0.00,831.62
duplicates_50000,10,50000,7.51,0.00,829.80
duplicates_50000,11,50000,5.81,0.00,831.62
duplicates_50000,12,50000,6.52,0.00,829.80
duplicates_50000,13,50000,7.09,15.63,8842.03
duplicates_50000,14,50000,5.70,0.00,2742.66
duplicates_50000,15,50000,5.64,0.00,2742.68
duplicates_50000,16,50000,6.70,0.00,8842.03
duplicates_50000,17,50000,5.71,0.00,2742.89
duplicates_50000,18,50000,5.70,15.63,822.56
duplicates_50000,19,50000,6.44,15.63,827.02
duplicates_50000,20,50000,5.55,0.00,830.82
duplicates_50000,21,50000,6.23,15.63,829.06
duplicates_50000,22,50000,6.27,0.00,831.34
duplicates_50000,23,50000,6.27,0.00,829.20
duplicates_50000,24,50000,5.96,0.00,831.40
duplicates_50000,25,50000,6.59,15.63,830.10
duplicates_50000,26,50000,6.64,0.00,831.69
duplicates_50000,27,50000,9.23,15.63,829.70
duplicates_50000,28,50000,5.46,0.00,831.58
duplicates_50000,29,50000,7.56,15.63,829.79
duplicates_50000,30,50000,11.50,15.63,831.04
