Dataset,Algorithm,Run,Time(ms),CPU(%),Memory(MB)
randomArrays.txt,QuickSort,1,3.287500,0.00,0.00
randomArrays.txt,QuickSort,2,3.305800,0.00,0.00
randomArrays.txt,QuickSort,3,1.974500,0.00,0.00
randomArrays.txt,QuickSort,1,1.733800,0.00,0.00
randomArrays.txt,QuickSort,2,1.310600,0.00,0.00
randomArrays.txt,QuickSort,3,1.310700,0.00,0.00
randomArrays.txt,QuickSort,1,1.579300,0.00,0.00
randomArrays.txt,QuickSort,2,1.578900,0.00,0.00
randomArrays.txt,QuickSort,3,1.733900,0.00,0.00
randomArrays.txt,QuickSort,1,1.239500,0.00,0.00
randomArrays.txt,QuickSort,2,1.230600,0.00,0.00
randomArrays.txt,QuickSort,3,1.503800,0.00,0.00
randomArrays.txt,QuickSort,1,4.290800,0.00,0.00
randomArrays.txt,QuickSort,2,6.102600,64.01,0.00
randomArrays.txt,QuickSort,3,6.150600,0.00,0.00
randomArrays.txt,QuickSort,1,6.748300,0.00,0.00
randomArrays.txt,QuickSort,2,6.732700,0.00,0.00
randomArrays.txt,QuickSort,3,6.757400,0.00,0.00
randomArrays.txt,QuickSort,1,6.166600,0.00,0.00
randomArrays.txt,QuickSort,2,5.392100,0.00,0.00
randomArrays.txt,QuickSort,3,6.139200,0.00,0.00
randomArrays.txt,QuickSort,1,6.067000,0.00,0.00
randomArrays.txt,QuickSort,2,6.081300,64.23,0.00
randomArrays.txt,QuickSort,3,2.800200,0.00,0.00
randomArrays.txt,QuickSort,1,1.451700,0.00,0.00
randomArrays.txt,QuickSort,2,1.722800,0.00,0.00
randomArrays.txt,QuickSort,3,1.436000,0.00,0.00
randomArrays.txt,QuickSort,1,7.287300,0.00,0.00
randomArrays.txt,QuickSort,2,7.214500,0.00,0.00
randomArrays.txt,QuickSort,3,7.162100,0.00,0.00
randomArrays.txt,QuickSort,1,1.352600,0.00,0.00
randomArrays.txt,QuickSort,2,1.352400,0.00,0.00
randomArrays.txt,QuickSort,3,1.985700,196.72,0.00
randomArrays.txt,QuickSort,1,2.625200,0.00,0.00
randomArrays.txt,QuickSort,2,2.636700,0.00,0.00
randomArrays.txt,QuickSort,3,2.768300,0.00,0.00
randomArrays.txt,QuickSort,1,1.869200,0.00,0.00
randomArrays.txt,QuickSort,2,1.404800,0.00,0.00
randomArrays.txt,QuickSort,3,2.175400,0.00,0.00
randomArrays.txt,QuickSort,1,0.881800,0.00,0.00
randomArrays.txt,QuickSort,2,0.414200,0.00,0.00
randomArrays.txt,QuickSort,3,0.417900,0.00,0.00
