Dataset,Algorithm,Run,Time(ms),CPU(%),Memory(MB)
duplicates_10000.csv,IterativeQuickSort,17,51.877900,30.12,0.00
duplicates_10000.csv,IterativeQuickSort,18,54.323600,21.57,0.00
duplicates_10000.csv,IterativeQuickSort,19,53.048200,22.09,0.00
duplicates_10000.csv,IterativeQuickSort,20,27.246600,28.67,0.00
duplicates_10000.csv,IterativeQuickSort,21,41.161900,28.47,0.00
duplicates_10000.csv,IterativeQuickSort,22,56.862500,20.61,0.00
duplicates_10000.csv,IterativeQuickSort,23,53.080700,22.08,0.00
duplicates_10000.csv,IterativeQuickSort,24,54.919200,28.45,0.00
duplicates_10000.csv,IterativeQuickSort,25,52.982100,22.12,0.00
duplicates_10000.csv,IterativeQuickSort,26,55.559700,28.12,0.00
duplicates_10000.csv,IterativeQuickSort,27,36.773100,21.25,0.00
duplicates_10000.csv,IterativeQuickSort,28,23.784800,16.42,0.00
duplicates_10000.csv,IterativeQuickSort,29,56.944500,27.44,0.00
duplicates_10000.csv,IterativeQuickSort,30,54.164000,21.64,0.00
duplicates_50000.csv,IterativeQuickSort,1,230.012000,23.78,0.00
duplicates_50000.csv,IterativeQuickSort,2,236.771100,24.75,0.00
